,Sample Date,Address,1st Draw,2/3 Min,5 Min
309,2016-05-18 00:00:00,9300 S WOODLAWN AVE,3.5,2.8,1.7
310,2016-05-18 00:00:00,4800 W HOMER ST,4.2,2.7,2.3
311,2016-05-19 00:00:00,1200 E 46TH ST,1.0,1.0,1.0
312,2016-05-19 00:00:00,500 N LAWLER AVE,1.66,1.1,1.0
313,2016-05-19 00:00:00,10500 S VERNON AVE,2.6,2.9,1.7
314,2016-05-19 00:00:00,1700 N MOODY AVE,8.69,6.24,5.73
315,2016-05-19 00:00:00,8900 S EGGLESTON AVE,2.8,1.2,1.0
316,2016-05-19 00:00:00,1600 S MILLER ST,5.1,5.7,5.1
317,2016-05-19 00:00:00,3300 W CUYLER AVE,1.0,4.8,4.0
318,2016-05-20 00:00:00,6000 N WHIPPLE ST,4.0,14.0,2.1
319,2016-05-20 00:00:00,1400 E 69TH PL,5.5,1.0,1.0
320,2016-05-20 00:00:00,5300 N DELPHIA AVE,1.0,1.0,9.3
321,2016-05-20 00:00:00,8300 S KARLOV AVE,3.1,2.5,2.0
322,2016-05-20 00:00:00,4900 N KARLOV AVE,1.7,2.9,2.1
323,2016-05-20 00:00:00,9400 S MICHIGAN AVE,3.1,3.3,1.4
324,2016-05-20 00:00:00,5400 S KEDVALE AVE,4.3,4.7,2.1
325,2016-05-20 00:00:00,5300 N DELPHIA AVE,1.0,1.0,9.3
326,2016-05-20 00:00:00,8900 S THROOP ST,2.1,3.7,5.0
327,2016-05-20 00:00:00,2800 W WILSON AVE,6.9,8.7,4.0
328,2016-05-21 00:00:00,6400 S NARRAGANSETT AVE,2.9,2.7,2.1
329,2016-05-21 00:00:00,6200 N KEDVALE AVE,1.16,7.6,1.72
330,2016-05-21 00:00:00,4700 S INGLESIDE AVE,1.0,1.0,1.0
331,2016-05-21 00:00:00,2100 W WILSON AVE,2.06,6.61,2.39
332,2016-05-21 00:00:00,2500 N ORCHARD ST,1.0,1.2,1.1
333,2016-05-21 00:00:00,11300 S UNION AVE,1.5,2.8,1.4
334,2016-05-21 00:00:00,7600 S PEORIA ST,1.0,1.0,1.0
335,2016-05-21 00:00:00,7800 S COLES AVE,1.0,1.0,1.0
336,2016-05-21 00:00:00,7500 S TRUMBULL AVE,1.76,10.8,5.4
337,2016-05-22 00:00:00,1900 W BARRY AVE,1.0,1.0,1.0
338,2016-05-22 00:00:00,1500 N CLAREMONT AVE,7.1,18.0,13.0
339,2016-05-22 00:00:00,1900 N SHEFFIELD AVE,1.0,1.0,1.0
340,2016-05-22 00:00:00,1500 N CLAREMONT AVE,7.1,18.0,13.0
341,2016-05-22 00:00:00,6000 W EDDY ST,2.3,1.7,1.5
